Country,longitude,latitude,Count,Population
United States of America,"-95.712891	",37.09024,724,"331,002,651"
China,104.195397,"	35.86166",626,"1,439,323,776"
India,78.96288,"20.593684	",140,"1,393,409,038"
Germany,"10.451526	","51.165691	",136,"83,783,942"
Russia,105.318756,61.52401,118,"145,934,462"
Hong Kong,"114.109497	",22.396428,71,"7,496,981"
Brazil,-51.92528,"-14.235004	",65,"212,559,417"
Canada,"	-106.346771",56.130366,64,"37,742,154"
United Kingdom,"-3.435973	",55.378051,56,"67,886,011"
Italy,12.56738,41.87194,51,"60,461,826"
Japan,138.252924,36.204824,49,"126,476,461"
Taiwan,120.960515,23.69781,47,"23,816,775"
Australia,"133.775136	","-25.274398	",44,"25,499,884"
South Korea,127.766922,35.907757,43,"51,269,185"
France,"2.213749	","46.227638	",42,"65,273,511"
Sweden,"18.643501	",60.128161,41,"10,099,265"
Switzerland,8.227512,"46.818188	",40,"8,654,622"
Thailand,100.992541,15.870032,31,"69,799,978"
Spain,"-3.74922	",40.463667,30,"46,754,778"
Singapore,103.819836,1.352083,27,"5,850,342"
Turkey,"35.243322	",38.963745,27,"84,339,067"
Israel,34.851612,"31.046051	",24,"8,655,535"
Indonesia,113.921327,"-0.789275	",21,"273,523,615"
Malaysia,101.975766,4.210484,17,"32,365,999"
Philippines,"121.774017	",12.879721,17,"109,581,078"
Mexico,"-102.552784	","23.634501	",13,"128,932,753"
Austria,14.550072,47.516231,12,"9,006,398"
Netherlands,5.291266,"52.132633	",12,"17,134,872"
Norway,8.468946,"60.472024	",12,"5,421,241"
Denmark,"9.501785	","56.26392	",10,"5,792,202"
Chile,"	-71.542969","-35.675147	",9,"19,116,201"
Czechia,"15.472962	","49.817492	",9,"10,708,981"
Ireland,"-8.24389	",53.41291,9,"4,937,786"
Poland,"19.145136	",51.919438,8,"37,846,611"
Finland,25.748151,"61.92411	",7,"5,540,720"
Ukraine,31.16558,48.379433,7,"43,733,762"
Egypt,30.802498,"26.820553	",6,"102,334,404"
Lebanon,35.862285,33.854721,6,"6,825,445"
Peru,"-75.015152	","-9.189967	",6,"32,971,854"
Vietnam,108.277199,14.058324,6,"97,338,579"
Argentina,-63.616672,-38.416097,5,"45,195,774"
Colombia,-74.297333,"4.570868	",5,"50,882,891"
Cyprus,"33.429859	","35.126413	",5,"1,207,359"
Kazakhstan,66.923684,"48.019573	",5,"18,776,707"
South Africa,22.937506,"-30.559482	",5,"59,308,690"
Greece,21.824312,"39.074208	",4,"10,423,054"
United Arab Emirates,53.847818,23.424076,4,"9,890,402"
Belgium,"	4.469936",50.503887,3,"11,589,623"
Monaco,"7.412841	",43.750298,3,"39,242"
Nigeria,8.675277,9.081999,3,"206,139,589"
Georgia,"43.356892	","42.315407	",2,"3,989,167"
Hungary,19.503304,47.162494,2,"9,660,351"
Iceland,"-19.020835	","64.963051	",2,"341,243"
Morocco,"-7.09262	",31.791702,2,"36,910,560"
New Zealand,174.885971,"-40.900557	",2,"4,822,233"
Portugal,"-8.224454	",39.399872,2,"10,196,709"
Qatar,"51.183884	","25.354826	",2,"2,881,053"
